artist,song,duration,ts,sessionid,auth,level,itemInSession,city,zip,state,country,userAgent,lon,lat,userId,lastName,firstName,gender,registration
Rihanna,We Found Love,182,1704328530,8269,Logged Out,free,18,Teixeira das Pedras,,AL,BR,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 10.0; Trident/3.1),105.917922,71.571856,,,,,
Frank Sinatra,Strangers in the Night,259,1707525252,3351,Logged Out,free,71,West Corey,,BC,CA,Opera/8.21.(Windows NT 11.0; sa-IN) Presto/2.9.161 Version/12.00,34.116758,89.356008,,,,,
Bruce Springsteen,The River,218,1705649564,8323,Logged In,free,63,New Tristanmouth,S4J3K9,NB,CA,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/37.0.840.0 Safari/533.2",-99.710777,-79.627234,58717.0,Davis,Victoria,M,1708488220.0
Ed Sheeran,Castle on the Hill,251,1707949769,8595,Logged Out,free,36,Lake Sandraside,,TX,US,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/532.14.6 (KHTML, like Gecko) Version/5.0.5 Safari/532.14.6",-171.297845,-17.2438005,,,,,
Elvis Presley,Heartbreak Hotel,196,1706738783,1019,Logged Out,free,13,Lake Jeffreyburgh,,MA,US,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8; rv:1.9.5.20) Gecko/9990-03-29 05:02:53 Firefox/3.8,8.062643,27.0562865,,,,,
Bruce Springsteen,Born in the U.S.A.,293,1704900623,952,Logged In,free,87,North William,C6J 8L3,AB,CA,Mozilla/5.0 (Android 4.2; Mobile; rv:50.0) Gecko/50.0 Firefox/50.0,42.488963,84.706616,91449.0,Chambers,Tammy,M,1707488875.0
Rihanna,We Found Love,182,1707244282,6204,Logged In,free,91,Saint Jeannine-sur-Mer,89442,,FR,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_7 rv:6.0; eu-FR) AppleWebKit/534.3.4 (KHTML, like Gecko) Version/5.0.1 Safari/534.3.4",-12.465005,35.330430,20982.0,Allen,Dana,F,1704492565.0
Bruce Springsteen,The River,218,1709123094,1368,Logged Out,free,93,Sainte Laurent,,,FR,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_6 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) FxiOS/13.9d3442.0 Mobile/08D913 Safari/532.0",-11.039621,8.4873025,,,,,
Beyoncé,Irreplaceable,277,1706721998,6154,Logged In,free,76,Thirimont,7977,,BE,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/3.1),-1.002736,0.599937,48818.0,Savage,Gregory,F,1707399191.0
Frank Sinatra,I’ve Got You Under My Skin,282,1709034426,8987,Logged Out,free,17,Silva de Minas,,MT,BR,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/5.0),-154.092563,-7.354155,,,,,
David Bowie,Heroes,226,1708309253,5631,Logged In,free,16,Moreira,46546118-763,SC,BR,Opera/9.97.(Windows NT 6.2; pt-PT) Presto/2.9.161 Version/11.00,-96.428476,-45.290417,63069.0,Wells,Mary,F,1704760275.0
Led Zeppelin,Black Dog,243,1704801398,1388,Logged Out,free,26,Mallet-sur-Riou,,,FR,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_3; rv:1.9.2.20) Gecko/5285-10-09 13:26:29 Firefox/4.0,113.341575,-49.376489,,,,,
Elton John,Tiny Dancer,199,1707588154,8540,Logged Out,free,64,Châtelet,,,BE,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/5.0),111.418400,73.684051,,,,,
Mariah Carey,Hero,254,1707513647,7708,Logged In,paid,9,North Matthew,X5X3G7,SK,CA,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) CriOS/63.0.866.0 Mobile/13A204 Safari/535.0",-139.005556,24.4519335,76409.0,Phillips,Jasmine,M,1705794846.0
Madonna,Like a Prayer,270,1708758564,4956,Logged Out,free,65,da Rocha,,PI,BR,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/533.22.1 (KHTML, like Gecko) Version/5.1 Safari/533.22.1",78.412299,22.170062,,,,,
Taylor Swift,Bad Blood,235,1708718954,7519,Logged In,free,7,Elen,6912,,BE,"Mozilla/5.0 (iPad; CPU iPad OS 17_1_2 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) CriOS/20.0.887.0 Mobile/00U992 Safari/534.0",-20.878769,-55.8794045,53889.0,Johnson,Steven,M,1708853259.0
Michael Jackson,Billie Jean,242,1704991236,6088,Logged In,paid,97,CousinBourg,66981,,FR,Mozilla/5.0 (Windows 98; Win 9x 4.90; nan-TW; rv:1.9.0.20) Gecko/5067-03-28 11:31:24 Firefox/14.0,9.248620,-71.1210775,24790.0,Johnson,Philip,F,1705216795.0
Prince,When Doves Cry,266,1708969127,164,Logged Out,free,30,Deftinge,,,BE,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/3.0),-178.264779,-35.0268885,,,,,
Frank Sinatra,Fly Me to the Moon,254,1707472270,7440,Logged In,paid,15,Saint Théodoreboeuf,88125,,FR,Opera/9.52.(Windows NT 6.2; hy-AM) Presto/2.9.160 Version/10.00,74.138798,-11.447199,79279.0,Hall,Donald,M,1704844357.0
The Rolling Stones,Paint It Black,182,1704346945,8737,Logged In,free,75,Sharonside,43359,SC,US,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/3.0),-60.375806,-5.203543,24124.0,Watkins,Christopher,M,1705593515.0
Bruce Springsteen,The River,218,1707565430,2332,Logged In,paid,76,East Kari,X7G2A2,NL,CA,Opera/9.91.(Windows NT 6.1; lij-IT) Presto/2.9.167 Version/11.00,104.116006,-74.4690985,17305.0,Fisher,Andrea,F,1707344017.0
Prince,Purple Rain,220,1708141304,7231,Logged Out,free,27,Ortizchester,,VA,US,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/3.0),-121.687621,-15.6513655,,,,,
Adele,Someone Like You,185,1705993299,5577,Logged Out,free,67,Novais,,RN,BR,"Mozilla/5.0 (iPad; CPU iPad OS 13_5_1 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) FxiOS/17.1n4892.0 Mobile/79J703 Safari/533.0",32.727036,29.3422565,,,,,
Ed Sheeran,Thinking Out Loud,182,1708281596,3212,Logged Out,free,77,Lake Johnnyport,,VI,US,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_9) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/46.0.880.0 Safari/531.0",-23.097239,28.746347,,,,,
Frank Sinatra,Strangers in the Night,259,1706180645,5801,Logged Out,free,81,Nunes Grande,,CE,BR,Opera/9.73.(X11; Linux x86_64; gu-IN) Presto/2.9.175 Version/12.00,170.069080,-73.8342505,,,,,
