ts,sessionId,page,auth,level,itemInSession,city,zip,state,userAgent,lon,lat,userId,lastName,firstName,gender,registration,artist,song,duration
1704328530,8269,/new-releases,Logged Out,free,18,Teixeira das Pedras,,AL,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 10.0; Trident/3.1),105.917922,71.571856,,,,,,Rihanna,We Found Love,182
1707525252,3351,/explore,Logged Out,free,71,West Corey,,BC,Opera/8.21.(Windows NT 11.0; sa-IN) Presto/2.9.161 Version/12.00,34.116758,89.356008,,,,,,Frank Sinatra,Strangers in the Night,259
1705649564,8323,/discover,Logged In,free,63,New Tristanmouth,S4J3K9,NB,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/37.0.840.0 Safari/533.2",-99.710777,-79.627234,58717.0,Davis,Victoria,M,1708488220.0,Bruce Springsteen,The River,218
1707949769,8595,/explore,Logged Out,free,36,Lake Sandraside,,TX,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/532.14.6 (KHTML, like Gecko) Version/5.0.5 Safari/532.14.6",-171.297845,-17.2438005,,,,,,Ed Sheeran,Castle on the Hill,251
1706738783,1019,/explore,Logged Out,free,13,Lake Jeffreyburgh,,MA,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8; rv:1.9.5.20) Gecko/9990-03-29 05:02:53 Firefox/3.8,8.062643,27.0562865,,,,,,Elvis Presley,Heartbreak Hotel,196
1704900623,952,/artists,Logged In,free,87,North William,C6J 8L3,AB,Mozilla/5.0 (Android 4.2; Mobile; rv:50.0) Gecko/50.0 Firefox/50.0,42.488963,84.706616,91449.0,Chambers,Tammy,M,1707488875.0,Bruce Springsteen,Born in the U.S.A.,293
1707244282,6204,/my-music,Logged In,free,91,Saint Jeannine-sur-Mer,89442,,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_7 rv:6.0; eu-FR) AppleWebKit/534.3.4 (KHTML, like Gecko) Version/5.0.1 Safari/534.3.4",-12.465005,35.33043,20982.0,Allen,Dana,F,1704492565.0,Rihanna,We Found Love,182
1709123094,1368,/explore,Logged Out,free,93,Sainte Laurent,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_6 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) FxiOS/13.9d3442.0 Mobile/08D913 Safari/532.0",-11.039621,8.4873025,,,,,,Bruce Springsteen,The River,218
1706721998,6154,/artists,Logged In,free,76,Thirimont,7977,,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/3.1),-1.002736,0.599937,48818.0,Savage,Gregory,F,1707399191.0,Beyoncé,Irreplaceable,277
1709034426,8987,/songs,Logged Out,free,17,Silva de Minas,,MT,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/5.0),-154.092563,-7.354155,,,,,,Frank Sinatra,I’ve Got You Under My Skin,282
1708309253,5631,/albums,Logged In,free,16,Moreira,46546118-763,SC,Opera/9.97.(Windows NT 6.2; pt-PT) Presto/2.9.161 Version/11.00,-96.428476,-45.290417,63069.0,Wells,Mary,F,1704760275.0,David Bowie,Heroes,226
1704801398,1388,/songs,Logged Out,free,26,Mallet-sur-Riou,,,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_3; rv:1.9.2.20) Gecko/5285-10-09 13:26:29 Firefox/4.0,113.341575,-49.376489,,,,,,Led Zeppelin,Black Dog,243
1707588154,8540,/new-releases,Logged Out,free,64,Châtelet,,,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/5.0),111.4184,73.684051,,,,,,Elton John,Tiny Dancer,199
